"View Credit Memo","Näytä hyvityslasku"
"The digital-content consent step is temporarily unavailable. Please refresh the page; if the problem persists, contact support — your order cannot be completed until the required consent can be shown.","Digitaalisen sisällön suostumusvaihe on tilapäisesti poissa käytöstä. Päivitä sivu; jos ongelma jatkuu, ota yhteyttä tukeen — tilaustasi ei voida saattaa loppuun ennen kuin vaadittu suostumus voidaan näyttää."
"Your cart contains digital content. To receive it immediately, EU consumer law requires both your express consent to begin performance and your acknowledgment that doing so causes you to lose the right of withdrawal once delivery starts.","Ostoskorisi sisältää digitaalista sisältöä. Saadaksesi sen välittömästi, EU:n kuluttajalainsäädäntö edellyttää sekä nimenomaisen suostumuksesi toimituksen aloittamiseen että vahvistuksesi siitä, että näin tehdessäsi menetät peruuttamisoikeuden heti, kun toimitus alkaa."
SKU:,SKU:
"Seal photos skipped","Sinetin valokuvat ohitettu"
Submitting…,Lähetetään…
"That order does not belong to your account. Please select one of your own orders.","Kyseinen tilaus ei kuulu tilillesi. Valitse jokin omista tilauksistasi."
"Bundle contents","Pakettituotteen sisältö"
"included in the bundle price above — not returnable separately","sisältyy yllä olevaan pakettihintaan — ei palautettavissa erikseen"
"included: %1","osuus: %1"
"Included","Sisältyy"
"Individual items","Yksittäiset tuotteet"
"%1 items","%1 tuotetta"
"Return now","Palauta nyt"
"Included in this bundle","Sisältyy tähän pakettiin"
"Included value","Sisältyvä arvo"
"Other items","Muut tuotteet"
"Order total","Tilauksen loppusumma"
"Hygiene seal","Hygieniasinetti"
"Media seal","Mediasinetti"
"Seal Photos","Sinetin kuvat"
"Is the hygiene seal on “%1” still intact?","Onko tuotteen ”%1” hygieniasinetti edelleen ehjä?"
"Is the media / software seal on “%1” still intact?","Onko tuotteen ”%1” media-/ohjelmistosinetti edelleen ehjä?"
"Once you confirm the seal is broken, the whole bundle can’t be returned. Its quantity is set to 0.","Kun vahvistat, että sinetti on rikki, koko pakettia ei voi palauttaa. Sen määräksi asetetaan 0."
"A credit memo can only be started for an approved withdrawal request.","Hyvityslasku voidaan aloittaa vain hyväksytylle peruutuspyynnölle."
"EU withdrawal request %1 was cancelled by an administrator. Reason: %2","EU-peruutuspyyntö %1 peruutettiin ylläpitäjän toimesta. Syy: %2"
"System","Järjestelmä"
"View Order","Näytä tilaus"
"View Request","Näytä pyyntö"
"View Shipment","Näytä toimitus"
"Please confirm both consent boxes to proceed with digital content delivery.","Vahvista molemmat suostumusruudut jatkaaksesi digitaalisen sisällön toimitusta."
"The digital-content consent step could not load. Please refresh and try again, or contact support.","Digitaalisen sisällön suostumusvaihetta ei voitu ladata. Päivitä ja yritä uudelleen tai ota yhteyttä tukeen."
"We could not record your consent just now. Please try again.","Emme voineet tallentaa suostumustasi juuri nyt. Yritä uudelleen."
